,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20
Total Cybercrime,"1,852","1,738","1,570","1,485","1,564","1,652","1,970","2,300","1,571","1,848","1,714","1,811","1,854","1,460","1,948","2,406","2,156","1,947","1,996","1,919","1,627","1,533","1,218","1,556","1,838","2,183","2,029","2,267","2,219","1,543","2,399","1,829","2,070","2,250","2,065","2,157","3,925","3,700","2,520","1,811"
Cybercrime Individuals,"1,657","1,488","1,358","1,282","1,352","1,426","1,709","2,010","1,372","1,626","1,476","1,521","1,601","1,234","1,559","2,110","1,765","1,583",,,"1,626","1,529","1,212","1,386","1,687","1,959","1,806","2,005","2,008","1,363","2,119","1,621","1,819","1,978","1,818","1,939","3,684","3,419","2,257","1,622"
Cybercrime organisations,195,250,212,203,212,226,261,290,199,222,238,290,253,226,389,296,391,364,,,1,4,6,170,151,224,223,262,211,180,280,208,251,272,247,218,241,281,263,189
Total Fraud,"17,844","18,920","20,275","19,997","20,239","19,380","20,729","21,010","17,856","21,136","19,999","18,797","20,614","18,401","20,441","20,486","22,476","20,339","17,266","23,097","19,492","21,968","19,865","25,074","23,272","26,500","26,001","27,669","26,196","18,704","25,100","19,686","22,847","25,537","25,850","21,258","23,231","31,832","31,539","27,289"
Fraud individuals,"14,214","15,439","16,310","16,099","15,885","15,391","16,922","17,295","14,488","16,811","15,650","15,772","16,950","13,912","16,724","17,778","19,366","17,136",,,"19,341","21,756","19,634","23,009","21,483","23,535","23,168","24,629","23,507","16,675","22,219","17,057","19,864","22,531","22,928","19,067","21,052","29,080","28,872","23,500"
Fraud organisations,"3,630","3,481","3,965","3,898","4,354","3,989","3,807","3,715","3,368","4,325","4,349","3,025","3,664","4,489","3,717","2,708","3,110","3,203",,,151,212,231,"2,065","1,789","2,965","2,833","3,040","2,689","2,029","2,881","2,629","2,983","3,006","2,922","2,191","2,179","2,752","2,667","3,789"
Online shopping and auction,"2,983","2,889","3,177","3,089","3,165","3,012","3,219","3,654","3,618","3,695","2,991","3,087","3,106","2,582","3,170","2,983","3,229","3,179","3,356","4,984","5,056","5,331","4,373","5,162","4,841","5,265","4,946","5,019","4,906","3,644","5,199","4,103","5,464","5,450","5,153","4,821","6,809","9,820","8,149","6,848"
Online shopping individuals,"2,830","2,749","2,964","2,913","3,023","2,868","3,081","3,505","3,510","3,511","2,832","2,906","2,958","2,436","2,956","2,791","3,053","2,987",,,"5,051","5,299","4,349","5,012","4,726","5,099","4,775","4,861","4,747","3,553","5,023","3,968","5,316","5,272","5,002","4,674","6,571","9,558","7,828","5,834"
Online shopping organisations,153,140,213,176,142,144,138,149,108,184,159,181,148,146,214,192,176,192,,,5,32,24,150,115,166,171,158,159,91,176,135,148,178,151,147,238,262,321,"1,014"
Dating,255,232,237,260,285,257,297,283,278,301,294,305,285,240,267,274,361,317,340,440,374,401,375,409,427,401,412,437,453,306,450,328,410,420,433,388,393,590,554,426
Dating individuals,255,232,237,260,285,257,297,283,278,300,294,304,283,240,266,274,361,316,,,374,401,375,409,427,399,411,437,453,306,450,328,410,420,432,388,393,590,544,426
Dating organisations, , , , , , , , , ,1, ,1,2, ,1, , ,1,,, , , , , ,2,1, , , , , , , ,1, , , ,10, 
Ticket,461,459,"1,167","1,054",758,505,707,725,581,505,439,484,445,352,581,797,835,423,470,470,578,546,487,641,625,736,761,858,800,463,540,416,473,458,468,255,114,95,110,135
Ticket inividuals,456,459,"1,163","1,050",753,500,701,699,579,498,401,477,443,352,575,794,834,420,,,578,546,486,641,624,735,760,856,800,461,538,416,473,457,468,255,114,95,110,134
Ticket organisations,5, ,4,4,5,5,6,26,2,7,38,7,2, ,6,3,1,3,,, , ,1, ,1,1,1,2, ,2,2, , ,1, , , , , ,1
Door-to-door and bogus tradesmen,455,495,562,566,534,559,624,524,430,526,511,478,589,496,552,559,623,544,256,376,323,322,296,355,372,455,404,459,391,267,403,292,299,358,371,347,201,349,329,298
D-to-D individuals,428,479,536,537,514,529,598,495,409,502,490,449,563,472,531,538,605,515,,,323,322,296,355,372,454,402,456,391,265,403,291,298,358,369,346,201,349,322,297
D-to-D organisations,27,16,26,29,20,30,26,29,21,24,21,29,26,24,21,21,18,29,,, , , , , ,1,2,3, ,2, ,1,1, ,2,1, , ,7,1
Internet_retail_sales,1122.9,1103.8,1146.7,1154.1,1174.7,1190,1186.2,1221.7,1242.3,1221.3,1256.8,1284.9,1269.8,1336.3,1324.4,1331.3,1335.2,1334.5,1342.4,1387.5,1375.9,1407.7,1437.1,1469.9,1450.7,1446.1,1429.7,1506.2,1479.5,1444.5,1458.9,1417,1461.4,1481.3,1526.6,1647.9,1913.8,2287.1,2469.7,2298.9
Passenger_Air_Travellers,181369,201117,203179,211680,213546,205296,195973,159278,159444,157044,149746,173169,183002,200825,203058,211356,211714,201094,197549,160271,161526,157789,150664,170182,184566,202572,202209,211928,211317,199533,192228,153917,159475,151928,150099,111596,10809,10283,14408,46105
Cinema_Ticket_sales,15642269,11340178,9583856,17803869,14474561,10783134,12106187,14089744,17164883,16201679,16104240,13530321,15499145,13723204,10411163,15614626,19224516,10132727,16047372,14847358,15665130,13711441,12226237,11430575,15981248,16570282,13920453,18646247,15553494,10958104,16344313,12211869,18500328,16505362,14544878,4807037,0,0,0,393596
